,Version,Current_Time,dt,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_warm,dT_warm,R_warm,dR_warm,PSI,T_core,T_db,T_r,q_total_irradiance,q_irradiance_0,q_irradiance_1,q_irradiance_2,q_irradiance_3,q_irradiance_4,q_irradiance_5,q_irradiance_6,q_irradiance_7,q_irradiance_8,q_irradiance_9,q_irradiance_10,q_irradiance_11,q_irradiance_12,q_irradiance_13,q_irradiance_14,q_irradiance_15,q_irradiance_16,q_irradiance_17,q_irradiance_18,q_irradiance_19,q_irradiance_20,q_irradiance_21,q_irradiance_22,q_irradiance_23,q_irradiance_24,q_irradiance_25,q_irradiance_26,q_irradiance_27,q_irradiance_28,q_irradiance_29,q_irradiance_30,q_irradiance_31,q_irradiance_32,q_irradiance_33,q_irradiance_34,q_irradiance_35
10,0.1.1,10.0,0.05,33.99999996578898,33.99999988017738,33.99999973575081,33.99999946671768,33.999998958339305,33.99999800705371,33.999996255049496,33.999993083903185,33.999987444907255,33.99997759437762,33.99996069042738,33.99993219368979,33.99988499914739,33.99980821132801,33.9996854635053,33.9994926772286,33.999195166608295,33.99874401801402,33.99807172566199,33.997087140884496,33.9956698984496,33.9936646130596,33.99087528284556,33.98706047727859,33.981930001391554,33.975143789793435,33.96631376618756,33.955009286031135,33.940766551882156,33.9231020593046,33.90152972132364,33.8755808751607,33.84482595416574,33.808896274201366,33.76750419608338,33.72045992679513,33.83883767417168,-0.0006548690619794684,0.9442219989263521,0.04683552133934654,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1.1,11.0,0.05,33.999999891604915,33.9999996296946,33.99999921691792,33.99999849689864,33.99999721444911,33.99999494318357,33.99999097398937,33.99998414391234,33.999972577704895,33.99995330523833,33.999921707541375,33.99987073317446,33.99978981635311,33.999663420772094,33.99946913126977,33.999175222755966,33.99873765597028,33.99809648616888,33.997171726266444,33.995858780806444,33.99402365893436,33.991498277020405,33.98807626422261,33.98350977267879,33.97750785102689,33.969736947864085,33.95982405524076,33.947362871794155,33.93192316008074,33.913063203773206,33.89034496032758,33.86335118673855,33.83170353021829,33.79508036350955,33.75323304219028,33.70599929296222,33.82559966910017,-0.0006619002535753538,0.9098710541959462,-0.0343509447304059,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.1.1,12.0,0.05,33.999999714734564,33.99999904415623,33.999998044938415,33.999996396930825,33.99999360638371,33.99998888967139,33.99998100362461,33.999967997906936,33.999946858120744,33.999913000607194,33.99985957188273,33.9997764984014,33.999649227377,33.99945709874504,33.99917129437995,33.998752325971765,33.99814704989778,33.997285237711864,33.99607578495869,33.994402707443484,33.99212114895529,33.989053701128604,33.98498740537601,33.979671857358866,33.972818854180666,33.9641040021697,33.95317063048682,33.93963622960579,33.923101457497246,33.90316154135627,33.87941966775329,33.85150172399471,33.819071556319074,33.78184577382593,33.73960707344754,33.69221510482447,33.81286725923688,-0.0006366204931644859,0.9127195661295389,0.002848511933592701,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.1.1,13.0,0.05,33.999999349866364,33.9999978547608,33.99999572850427,33.99999238681692,33.99998697119822,33.99997817867851,33.99996402493405,33.9999415133984,33.99990617748251,33.99985145727259,33.99976786695375,33.99964190585906,33.9994546659268,33.999180093166224,33.99878287229251,33.99821592367672,33.99741753140365,33.99630816094505,33.99478707390563,33.99272890305708,33.98998040919063,33.98635769612873,33.981644203972465,33.97558982491847,33.967911482524556,33.95829547734768,33.946401825447495,33.931870701449604,33.91433094976566,33.8934104564995,33.868747995611315,33.84000599456956,33.80688352683021,33.76912874962137,33.72654998026581,33.67902465082336,33.80059106396207,-0.000613809763740747,0.9137151925344966,0.0009956264049577612,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1.1,14.0,0.05,33.99999867769777,33.99999569040147,33.99999160529156,33.999985448166356,33.9999758461691,33.999960795758405,33.999937353103434,33.999901218146306,33.999846179676375,33.99976338527126,33.99964039776284,33.99946000007126,33.99919871406871,33.9988250079049,33.99829718117854,33.99756093940812,33.996546698822364,33.99516669911601,33.9933120439867,33.99084983423162,33.98762060190441,33.98343629135695,33.97807905800523,33.971301162303575,33.96282621927096,33.95235201912349,33.939555060711506,33.92409683830314,33.90563179916152,33.883816753255275,33.85832137924384,33.82883934641193,33.79509947467961,33.756876296944924,33.71399937936169,33.666360800503746,33.78872894505716,-0.000593105945245398,0.9131792314394714,-0.0005359610950251836,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.1.1,15.0,0.05,33.999997545928814,33.999992082117004,33.99998485419214,33.99997435107649,33.99995851909388,33.999934463098576,33.99989806219595,33.99984347121081,33.999762476919365,33.99964367680253,33.99947144852894,33.99922468147934,33.998875248368044,33.99838620633561,33.997709733511336,33.99678482933659,33.995534834703214,33.99386486026713,33.991659246351006,33.988779212946014,33.9850608899027,33.98031394127015,33.97432100942478,33.96683819987316,33.95759680298744,33.946306402462675,33.932659452019855,33.91633731430378,33.89701765411359,33.874382969546716,33.84812993870604,33.81797916669772,33.7836848479997,33.74504382180669,33.70190349898061,33.654168181528064,33.777244676967534,-0.0005742134044812276,0.9113703409160934,-0.0018088905233780705,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.1.1,16.0,0.05,33.99999577368446,33.999986477491646,33.999974522923864,33.999957699774946,33.99993309748047,33.9998967371531,33.99984311379144,33.99976462081854,33.999650828661466,33.99948758983533,33.99925594565731,33.9989308150473,33.99847945459426,33.99785969177228,33.99701795021818,33.99588710728718,33.994384249133205,33.99240841615007,33.989838459931896,33.98653115949536,33.98231976635239,33.97701316181763,33.970395812372,33.962228697078835,33.95225135290169,33.94018513852017,33.925737755729244,33.90860899243066,33.888497567135516,33.865108867984794,33.83816329692227,33.807404859675536,33.77260959212918,33.73359338979738,33.690218813666036,33.6424004842292,33.76610689174055,-0.0005568892613492693,0.9084978107699158,-0.00287253014617761,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1.1,17.0,0.05,33.99999315831321,33.999978261728174,33.999959565230995,33.99993398844216,33.99989758525982,33.99984510713053,33.9997694754077,33.99966113678643,33.999507276861316,33.99929086928548,33.99898954239129,33.99857425202987,33.998007759280426,33.99724292488401,33.99622084881673,33.99486890302566,33.99309872725886,33.990804280895695,33.98786006600238,33.98411965634678,33.97941468135047,33.97355442037805,33.966326158971846,33.957496442712035,33.94681333518816,33.93400974405604,33.91880782456785,33.900924405935235,33.880077316385474,33.855992412875786,33.8284110569386,33.79709772502477,33.761847405550334,33.72249242013399,33.67890831610525,33.63101851208308,33.755288241314275,-0.000540932521313664,0.9047320587572472,-0.0037657520126685995,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.1.1,18.0,0.05,33.99998948338493,33.99996678188132,33.999938881919135,33.999901659493716,33.99984995794839,33.99977708499895,33.99967422074493,33.99952971307343,33.999328239158594,33.99904981550314,33.99866864458674,33.99815179406949,33.997457714921474,33.99653461791147,33.99531874343204,33.99373257719648,33.99168308308755,33.98906004316507,33.98573461200405,33.98155820631332,33.976361859212446,33.96995616968532,33.96213196988906,33.95266181496154,33.94130237122763,33.92779773963511,33.91188370325645,33.89329283321718,33.87176032985966,33.847030419474585,33.81886307611302,33.78704079742332,33.751375137293415,33.711712689568785,33.66794022821223,33.61998874033418,33.744764729339316,-0.0005261755987479689,0.900212788080907,-0.00451927067634017,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.1.1,19.0,0.05,33.999984526859535,33.99995137125702,33.99991136105335,33.999859158503874,33.99978823011151,33.999690281653436,33.999554608582685,33.99936734099303,33.99911056558828,33.9987613117866,33.99829039551419,33.99766112263155,33.99682786440457,33.99573452991831,33.99431297454888,33.992481399004916,33.99014280918997,33.98718362210716,33.98347251587953,33.978859631187774,33.97317623548483,33.96623495879281,33.95783069955711,33.94774228020719,33.9357349046466,33.92156343448838,33.904976458886004,33.88572108648891,33.8635483402669,33.83821899009591,33.80950961771209,33.77721867747949,33.7411722975071,33.701229561365544,33.65728702231981,33.6092822296994,33.73451517481684,-0.0005124777261237057,0.8950552963751336,-0.005157491705773398,,34.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
