wavelength_nm,absorption_coefficient_1/mm,scattering_coefficient_1/mm,reflectance_nd,transmittance_nd,reflectance_dark_american_negro_nd,reflectance_fair_complexioned_white_nd
1600,0.92,0.45,0.07,0.103,0.088,0.098
1610,0.9165,0.449,0.0695,,0.076,0.098
1620,0.913,0.448,0.069,,0.076,0.09
1630,0.9095,0.447,0.0685,,0.076,0.09
1640,0.906,0.446,0.068,,0.073,0.09
1650,0.9025,0.445,0.0675,,0.073,0.09
1660,0.899,0.444,0.067,,0.073,0.09
1670,0.8955,0.443,0.0665,,0.072,0.09
1680,0.892,0.442,0.066,,0.072,0.09
1690,0.8885,0.441,0.0655,,0.081,0.09
1700,0.885,0.44,0.065,,0.092,0.09
1710,0.8815,0.439,0.0645,,0.092,0.09
1720,0.878,0.438,0.064,,0.099,0.09
1730,0.8745,0.437,0.0635,,0.099,0.09
1740,0.871,0.436,0.063,,0.111,0.09
1750,0.8675,0.435,0.0625,,0.111,0.09
1760,0.864,0.434,0.062,,0.122,0.09
1770,0.8605,0.433,0.0615,,0.122,0.09
1780,0.857,0.432,0.061,,0.122,0.09
1790,0.8535,0.431,0.0605,,0.133,0.09
1800,0.85,0.43,0.06,0.098,0.133,0.09
1810,0.935,0.431,0.058,,0.133,0.09
1820,1.02,0.432,0.056,,0.127,0.09
1830,1.105,0.433,0.054,,0.127,0.09
1840,1.19,0.434,0.052,,0.12,0.09
1850,1.275,0.435,0.05,,0.12,0.09
1860,1.36,0.436,0.048,,0.115,0.09
1870,1.445,0.437,0.046,,0.115,0.09
1880,1.53,0.438,0.044,,0.115,0.09
1890,1.615,0.439,0.042,,0.115,0.09
1900,1.7,0.44,0.04,,0.107,0.09
1910,1.785,0.441,0.038,,0.102,0.09
1920,1.87,0.442,0.036,,0.102,0.09
1930,1.955,0.443,0.034,,0.1,0.09
1940,2.04,0.444,0.032,,0.1,0.09
1950,2.125,0.445,0.03,,0.1,0.09
1960,2.21,0.446,0.028,,0.1,0.09
1970,2.295,0.447,0.026,,0.099,0.09
1980,2.38,0.448,0.024,,0.099,0.09
1990,2.465,0.449,0.022,,0.077,0.09
2000,2.55,0.45,0.02,0.005,0.067,0.09
2010,2.52,0.4515,0.021,,0.054,0.09
2020,2.49,0.453,0.022,,0.054,0.09
2030,2.46,0.4545,0.023,,0.045,0.09
2040,2.43,0.456,0.024,,0.045,0.09
2050,2.4,0.4575,0.025,,0.045,0.09
2060,2.37,0.459,0.026,,0.042,0.09
2070,2.34,0.4605,0.027,,0.042,0.09
2080,2.31,0.462,0.028,,0.042,0.09
2090,2.28,0.4635,0.029,,0.047,0.09
2100,2.25,0.465,0.03,,0.047,0.09
2110,2.25,0.465,0.03,,0.051,0.09
2120,2.25,0.465,0.03,,0.051,0.09
2130,2.25,0.465,0.03,,0.051,0.09
2140,2.25,0.465,0.03,,0.054,0.09
2150,2.25,0.465,0.03,,0.054,0.09
2160,2.25,0.465,0.03,,0.054,0.09
2170,2.25,0.465,0.03,,0.054,0.09
2180,2.25,0.465,0.03,,0.055,0.09
2190,2.25,0.465,0.03,,0.055,0.09
2200,2.25,0.465,0.03,0.006,0.055,0.09
2210,2.25,0.465,0.03,,0.055,0.09
2220,2.25,0.465,0.03,,0.055,0.09
2230,2.25,0.465,0.03,,0.055,0.09
2240,2.25,0.465,0.03,,0.061,0.09
2250,2.25,0.465,0.03,,0.061,0.09
2260,2.25,0.465,0.03,,0.061,0.09
2270,2.25,0.465,0.03,,0.061,0.09
2280,2.25,0.465,0.03,,0.063,0.09
2290,2.25,0.465,0.03,,0.063,0.09
2300,2.25,0.465,0.03,,0.063,0.09
2310,2.25,0.465,0.03,,0.059,0.09
2320,2.25,0.465,0.03,,0.059,0.09
2330,2.25,0.465,0.03,,0.059,0.09
2340,2.25,0.465,0.03,,0.059,0.09
2350,2.25,0.465,0.03,,0.059,0.09
2360,2.25,0.465,0.03,,0.059,0.09
2370,2.25,0.465,0.03,,0.059,0.09
2380,2.25,0.465,0.03,,0.059,0.09
2390,2.25,0.465,0.03,,0.054,0.09
2400,2.25,0.465,0.03,0.005,0.054,0.09
2410,2.25,0.465,0.03,0.005,0.054,0.09
2420,2.25,0.465,0.03,0.005,0.054,0.09
2430,2.25,0.465,0.03,0.005,0.054,0.09
2440,2.25,0.465,0.03,0.005,0.054,0.09
2450,2.25,0.465,0.03,0.005,0.054,0.09
2460,2.25,0.465,0.03,0.005,0.054,0.09
2470,2.25,0.465,0.03,0.005,0.054,0.09
2480,2.25,0.465,0.03,0.005,0.054,0.09
2490,2.25,0.465,0.03,0.005,0.054,0.09
2500,2.25,0.465,0.03,0.005,0.054,0.09
2510,4.84,0.465,0.03,0.005,0.054,0.09
2520,4.84,0.465,0.03,0.005,0.054,0.09
2530,4.84,0.465,0.03,0.005,0.054,0.09
2540,5.99,0.465,0.03,0.005,0.041,0.09
2550,5.99,0.465,0.03,0.005,0.041,0.09
2560,5.99,0.465,0.03,0.005,0.041,0.09
2570,5.99,0.465,0.03,0.005,0.041,0.09
2580,5.99,0.465,0.03,0.005,0.041,0.09
2590,10.62,0.465,0.03,0.005,0.04,0.09
2600,10.62,0.465,0.03,0.005,0.04,0.09
2610,10.62,0.465,0.03,0.005,0.04,0.09
2620,10.62,0.465,0.03,0.005,0.04,0.09
2630,27.43,0.465,0.03,0.005,0.04,0.09
2640,27.43,0.465,0.03,0.005,0.04,0.09
2650,27.43,0.465,0.03,0.005,0.04,0.09
2660,27.43,0.465,0.03,0.005,0.04,0.09
2670,27.43,0.465,0.03,0.005,0.04,0.09
2680,57.29,0.465,0.03,0.005,0.04,0.09
2690,57.29,0.465,0.03,0.005,0.04,0.09
2700,57.29,0.465,0.03,0.005,0.04,0.09
2710,57.29,0.465,0.03,0.005,0.04,0.09
2720,57.29,0.465,0.03,0.005,0.04,0.09
2730,117.7,0.465,0.03,0.005,0.04,0.09
2740,117.7,0.465,0.03,0.005,0.04,0.09
2750,117.7,0.465,0.03,0.005,0.04,0.09
2760,117.7,0.465,0.03,0.005,0.04,0.09
2770,117.7,0.465,0.03,0.005,0.04,0.09
2780,299.14,0.465,0.03,0.005,0.04,0.09
2790,299.14,0.465,0.03,0.005,0.04,0.09
2800,299.14,0.465,0.03,0.005,0.04,0.09
2810,299.14,0.465,0.03,0.005,0.04,0.09
2820,299.14,0.465,0.03,0.005,0.04,0.09
2830,700.56,0.465,0.03,0.005,0.04,0.09
2840,700.56,0.465,0.03,0.005,0.04,0.09
2850,700.56,0.465,0.03,0.005,0.04,0.09
2860,700.56,0.465,0.03,0.005,0.04,0.09
2870,700.56,0.465,0.03,0.005,0.04,0.09
2880,1125.95,0.465,0.03,0.005,0.04,0.09
2890,1125.95,0.465,0.03,0.005,0.04,0.09
2900,1125.95,0.465,0.03,0.005,0.04,0.09
2910,1125.95,0.465,0.03,0.005,0.04,0.09
2920,1125.95,0.465,0.03,0.005,0.04,0.09
2930,1839.5,0.465,0.03,0.005,0.04,0.09
2940,1839.5,0.465,0.03,0.005,0.04,0.09
2950,1839.5,0.465,0.03,0.005,0.04,0.09
2960,1839.5,0.465,0.03,0.005,0.04,0.09
2970,1839.5,0.465,0.03,0.005,0.04,0.09
2980,1640.08,0.465,0.03,0.005,0.04,0.09
2990,1640.08,0.465,0.03,0.005,0.04,0.09
3000,1640.08,0.465,0.03,0.005,0.04,0.09
3010,1640.08,0.465,0.03,0.005,0.04,0.09
3020,1201.51,0.465,0.03,0.005,0.04,0.09
3030,1201.51,0.465,0.03,0.005,0.04,0.09
3040,1201.51,0.465,0.03,0.005,0.04,0.09
3050,1201.51,0.465,0.03,0.005,0.04,0.09
3060,1201.51,0.465,0.03,0.005,0.04,0.09
3070,797.88,0.465,0.03,0.005,0.04,0.09
3080,797.88,0.465,0.03,0.005,0.04,0.09
3090,797.88,0.465,0.03,0.005,0.04,0.09
3100,797.88,0.465,0.03,0.005,0.04,0.09
3110,797.88,0.465,0.03,0.005,0.04,0.09
3120,457.27,0.465,0.03,0.005,0.04,0.09
3130,457.27,0.465,0.03,0.005,0.04,0.09
3140,457.27,0.465,0.03,0.005,0.04,0.09
3150,457.27,0.465,0.03,0.005,0.04,0.09
3160,457.27,0.465,0.03,0.005,0.04,0.09
3170,375.66,0.465,0.03,0.005,0.04,0.09
3180,375.66,0.465,0.03,0.005,0.04,0.09
3190,375.66,0.465,0.03,0.005,0.04,0.09
3200,375.66,0.465,0.03,0.005,0.04,0.09
3210,198.37,0.465,0.03,0.005,0.04,0.09
3220,198.37,0.465,0.03,0.005,0.04,0.09
3230,198.37,0.465,0.03,0.005,0.04,0.09
3240,198.37,0.465,0.03,0.005,0.04,0.09
3250,198.37,0.465,0.03,0.005,0.04,0.09
3260,150.16,0.465,0.03,0.005,0.04,0.09
3270,150.16,0.465,0.03,0.005,0.04,0.09
3280,150.16,0.465,0.03,0.005,0.04,0.09
3290,150.16,0.465,0.03,0.005,0.04,0.09
3300,150.16,0.465,0.03,0.005,0.04,0.09
3310,84.66,0.465,0.03,0.005,0.04,0.09
3320,84.66,0.465,0.03,0.005,0.04,0.09
3330,84.66,0.465,0.03,0.005,0.04,0.09
3340,84.66,0.465,0.03,0.005,0.04,0.09
3350,84.66,0.465,0.03,0.005,0.04,0.09
3360,61.02,0.465,0.03,0.005,0.04,0.09
3370,61.02,0.465,0.03,0.005,0.04,0.09
3380,61.02,0.465,0.03,0.005,0.04,0.09
3390,61.02,0.465,0.03,0.005,0.04,0.09
3400,61.02,0.465,0.03,0.005,0.04,0.09
3410,43.26,0.465,0.03,0.005,0.04,0.09
3420,43.26,0.465,0.03,0.005,0.04,0.09
3430,43.26,0.465,0.03,0.005,0.04,0.09
3440,43.26,0.465,0.03,0.005,0.04,0.09
3450,43.26,0.465,0.03,0.005,0.04,0.09
3460,43.26,0.465,0.03,0.005,0.04,0.09
3470,40.51,0.465,0.03,0.005,0.04,0.09
3480,40.51,0.465,0.03,0.005,0.04,0.09
3490,40.51,0.465,0.03,0.005,0.04,0.09
3500,40.51,0.465,0.03,0.005,0.04,0.09
3510,40.51,0.465,0.03,0.005,0.04,0.09
3520,22.84,0.465,0.03,0.005,0.04,0.09
3530,22.84,0.465,0.03,0.005,0.04,0.09
3540,22.84,0.465,0.03,0.005,0.04,0.09
3550,22.84,0.465,0.03,0.005,0.04,0.09
3560,22.84,0.465,0.03,0.005,0.04,0.09
3570,22.84,0.465,0.03,0.005,0.04,0.09
3580,18.76,0.465,0.03,0.005,0.04,0.09
3590,18.76,0.465,0.03,0.005,0.04,0.09
3600,18.76,0.465,0.03,0.005,0.04,0.09
3610,18.76,0.465,0.03,0.005,0.04,0.09
3620,18.76,0.465,0.03,0.005,0.04,0.09
3630,17.57,0.465,0.03,0.005,0.04,0.09
3640,17.57,0.465,0.03,0.005,0.04,0.09
3650,17.57,0.465,0.03,0.005,0.04,0.09
3660,17.57,0.465,0.03,0.005,0.04,0.09
3670,17.57,0.465,0.03,0.005,0.04,0.09
3680,17.57,0.465,0.03,0.005,0.04,0.09
3690,16.46,0.465,0.03,0.005,0.04,0.09
3700,16.46,0.465,0.03,0.005,0.04,0.09
3710,16.46,0.465,0.03,0.005,0.04,0.09
3720,16.46,0.465,0.03,0.005,0.04,0.09
3730,16.46,0.465,0.03,0.005,0.04,0.09
3740,16.46,0.465,0.03,0.005,0.04,0.09
3750,15.41,0.465,0.03,0.005,0.04,0.09
3760,15.41,0.465,0.03,0.005,0.04,0.09
3770,15.41,0.465,0.03,0.005,0.04,0.09
3780,15.41,0.465,0.03,0.005,0.04,0.09
3790,15.41,0.465,0.03,0.005,0.04,0.09
3800,15.41,0.465,0.03,0.005,0.04,0.09
3810,14.91,0.465,0.03,0.005,0.04,0.09
3820,14.91,0.465,0.03,0.005,0.04,0.09
3830,14.91,0.465,0.03,0.005,0.04,0.09
3840,14.91,0.465,0.03,0.005,0.04,0.09
3850,14.91,0.465,0.03,0.005,0.04,0.09
3860,14.91,0.465,0.03,0.005,0.04,0.09
3870,14.67,0.465,0.03,0.005,0.04,0.09
3880,14.67,0.465,0.03,0.005,0.04,0.09
3890,14.67,0.465,0.03,0.005,0.04,0.09
3900,14.67,0.465,0.03,0.005,0.04,0.09
3910,14.67,0.465,0.03,0.005,0.04,0.09
3920,14.67,0.465,0.03,0.005,0.04,0.09
3930,14.67,0.465,0.03,0.005,0.04,0.09
3940,14.43,0.465,0.03,0.005,0.04,0.09
3950,14.43,0.465,0.03,0.005,0.04,0.09
3960,14.43,0.465,0.03,0.005,0.04,0.09
3970,14.43,0.465,0.03,0.005,0.04,0.09
3980,14.43,0.465,0.03,0.005,0.04,0.09
3990,14.43,0.465,0.03,0.005,0.04,0.09
4000,15.15,0.465,0.03,0.005,0.04,0.09
4010,15.15,0.465,0.03,0.005,0.04,0.09
4020,15.15,0.465,0.03,0.005,0.04,0.09
4030,15.15,0.465,0.03,0.005,0.04,0.09
4040,15.15,0.465,0.03,0.005,0.04,0.09
4050,15.15,0.465,0.03,0.005,0.04,0.09
4060,15.15,0.465,0.03,0.005,0.04,0.09
4070,19.05,0.465,0.03,0.005,0.04,0.09
4080,19.05,0.465,0.03,0.005,0.04,0.09
4090,19.05,0.465,0.03,0.005,0.04,0.09
4100,19.05,0.465,0.03,0.005,0.04,0.09
4110,19.05,0.465,0.03,0.005,0.04,0.09
4120,19.05,0.465,0.03,0.005,0.04,0.09
4130,19.05,0.465,0.03,0.005,0.04,0.09
4140,22.43,0.465,0.03,0.005,0.04,0.09
4150,22.43,0.465,0.03,0.005,0.04,0.09
4160,22.43,0.465,0.03,0.005,0.04,0.09
4170,22.43,0.465,0.03,0.005,0.04,0.09
4180,22.43,0.465,0.03,0.005,0.04,0.09
4190,22.43,0.465,0.03,0.005,0.04,0.09
4200,22.43,0.465,0.03,0.005,0.04,0.09
4210,26.42,0.465,0.03,0.005,0.04,0.09
4220,26.42,0.465,0.03,0.005,0.04,0.09
4230,26.42,0.465,0.03,0.005,0.04,0.09
4240,26.42,0.465,0.03,0.005,0.04,0.09
4250,26.42,0.465,0.03,0.005,0.04,0.09
4260,26.42,0.465,0.03,0.005,0.04,0.09
4270,26.42,0.465,0.03,0.005,0.04,0.09
4280,30.11,0.465,0.03,0.005,0.04,0.09
4290,30.11,0.465,0.03,0.005,0.04,0.09
4300,30.11,0.465,0.03,0.005,0.04,0.09
4310,30.11,0.465,0.03,0.005,0.04,0.09
4320,30.11,0.465,0.03,0.005,0.04,0.09
4330,30.11,0.465,0.03,0.005,0.04,0.09
4340,30.11,0.465,0.03,0.005,0.04,0.09
4350,31.62,0.465,0.03,0.005,0.04,0.09
4360,31.62,0.465,0.03,0.005,0.04,0.09
4370,31.62,0.465,0.03,0.005,0.04,0.09
4380,31.62,0.465,0.03,0.005,0.04,0.09
4390,31.62,0.465,0.03,0.005,0.04,0.09
4400,31.62,0.465,0.03,0.005,0.04,0.09
4410,31.62,0.465,0.03,0.005,0.04,0.09
4420,34.87,0.465,0.03,0.005,0.04,0.09
4430,34.87,0.465,0.03,0.005,0.04,0.09
4440,34.87,0.465,0.03,0.005,0.04,0.09
4450,34.87,0.465,0.03,0.005,0.04,0.09
4460,34.87,0.465,0.03,0.005,0.04,0.09
4470,34.87,0.465,0.03,0.005,0.04,0.09
4480,34.87,0.465,0.03,0.005,0.04,0.09
4490,36.03,0.465,0.03,0.005,0.04,0.09
4500,36.03,0.465,0.03,0.005,0.04,0.09
4510,36.03,0.465,0.03,0.005,0.04,0.09
4520,36.03,0.465,0.03,0.005,0.04,0.09
4530,36.03,0.465,0.03,0.005,0.04,0.09
4540,36.03,0.465,0.03,0.005,0.04,0.09
4550,36.03,0.465,0.03,0.005,0.04,0.09
