wavelength_nm,absorption_coefficient_1/mm,scattering_coefficient_1/mm,reflectance_nd,transmittance_nd,reflectance_dark_american_negro_nd,reflectance_fair_complexioned_white_nd
12380,245.93,0.465,0.03,0.005,0.04,0.09
12390,245.93,0.465,0.03,0.005,0.04,0.09
12400,245.93,0.465,0.03,0.005,0.04,0.09
12410,245.93,0.465,0.03,0.005,0.04,0.09
12420,245.93,0.465,0.03,0.005,0.04,0.09
12430,245.93,0.465,0.03,0.005,0.04,0.09
12440,245.93,0.465,0.03,0.005,0.04,0.09
12450,245.93,0.465,0.03,0.005,0.04,0.09
12460,245.93,0.465,0.03,0.005,0.04,0.09
12470,245.93,0.465,0.03,0.005,0.04,0.09
12480,245.93,0.465,0.03,0.005,0.04,0.09
12490,245.93,0.465,0.03,0.005,0.04,0.09
12500,245.93,0.465,0.03,0.005,0.04,0.09
12510,245.93,0.465,0.03,0.005,0.04,0.09
12520,245.93,0.465,0.03,0.005,0.04,0.09
12530,245.93,0.465,0.03,0.005,0.04,0.09
12540,245.93,0.465,0.03,0.005,0.04,0.09
12550,245.93,0.465,0.03,0.005,0.04,0.09
12560,275.69,0.465,0.03,0.005,0.04,0.09
12570,275.69,0.465,0.03,0.005,0.04,0.09
12580,275.69,0.465,0.03,0.005,0.04,0.09
12590,275.69,0.465,0.03,0.005,0.04,0.09
12600,275.69,0.465,0.03,0.005,0.04,0.09
12610,275.69,0.465,0.03,0.005,0.04,0.09
12620,275.69,0.465,0.03,0.005,0.04,0.09
12630,275.69,0.465,0.03,0.005,0.04,0.09
12640,275.69,0.465,0.03,0.005,0.04,0.09
12650,275.69,0.465,0.03,0.005,0.04,0.09
12660,275.69,0.465,0.03,0.005,0.04,0.09
12670,275.69,0.465,0.03,0.005,0.04,0.09
12680,275.69,0.465,0.03,0.005,0.04,0.09
12690,275.69,0.465,0.03,0.005,0.04,0.09
12700,275.69,0.465,0.03,0.005,0.04,0.09
12710,275.69,0.465,0.03,0.005,0.04,0.09
12720,275.69,0.465,0.03,0.005,0.04,0.09
12730,275.69,0.465,0.03,0.005,0.04,0.09
12740,275.69,0.465,0.03,0.005,0.04,0.09
12750,275.69,0.465,0.03,0.005,0.04,0.09
12760,284.81,0.465,0.03,0.005,0.04,0.09
12770,284.81,0.465,0.03,0.005,0.04,0.09
12780,284.81,0.465,0.03,0.005,0.04,0.09
12790,284.81,0.465,0.03,0.005,0.04,0.09
12800,284.81,0.465,0.03,0.005,0.04,0.09
12810,284.81,0.465,0.03,0.005,0.04,0.09
12820,284.81,0.465,0.03,0.005,0.04,0.09
12830,284.81,0.465,0.03,0.005,0.04,0.09
12840,284.81,0.465,0.03,0.005,0.04,0.09
12850,284.81,0.465,0.03,0.005,0.04,0.09
12860,284.81,0.465,0.03,0.005,0.04,0.09
12870,284.81,0.465,0.03,0.005,0.04,0.09
12880,284.81,0.465,0.03,0.005,0.04,0.09
12890,284.81,0.465,0.03,0.005,0.04,0.09
12900,284.81,0.465,0.03,0.005,0.04,0.09
12910,284.81,0.465,0.03,0.005,0.04,0.09
12920,284.81,0.465,0.03,0.005,0.04,0.09
12930,284.81,0.465,0.03,0.005,0.04,0.09
12940,284.81,0.465,0.03,0.005,0.04,0.09
12950,284.81,0.465,0.03,0.005,0.04,0.09
12960,284.81,0.465,0.03,0.005,0.04,0.09
12970,284.81,0.465,0.03,0.005,0.04,0.09
12980,284.81,0.465,0.03,0.005,0.04,0.09
12990,284.81,0.465,0.03,0.005,0.04,0.09
13000,284.81,0.465,0.03,0.005,0.04,0.09
13010,284.81,0.465,0.03,0.005,0.04,0.09
13020,284.81,0.465,0.03,0.005,0.04,0.09
13030,284.81,0.465,0.03,0.005,0.04,0.09
13040,284.81,0.465,0.03,0.005,0.04,0.09
13050,284.81,0.465,0.03,0.005,0.04,0.09
13060,284.81,0.465,0.03,0.005,0.04,0.09
13070,284.81,0.465,0.03,0.005,0.04,0.09
13080,284.81,0.465,0.03,0.005,0.04,0.09
13090,284.81,0.465,0.03,0.005,0.04,0.09
13100,284.81,0.465,0.03,0.005,0.04,0.09
13110,284.81,0.465,0.03,0.005,0.04,0.09
13120,284.81,0.465,0.03,0.005,0.04,0.09
13130,284.81,0.465,0.03,0.005,0.04,0.09
13140,284.81,0.465,0.03,0.005,0.04,0.09
13150,284.81,0.465,0.03,0.005,0.04,0.09
13160,284.81,0.465,0.03,0.005,0.04,0.09
13170,284.81,0.465,0.03,0.005,0.04,0.09
13180,284.81,0.465,0.03,0.005,0.04,0.09
13190,303.97,0.465,0.03,0.005,0.04,0.09
13200,303.97,0.465,0.03,0.005,0.04,0.09
13210,303.97,0.465,0.03,0.005,0.04,0.09
13220,303.97,0.465,0.03,0.005,0.04,0.09
13230,303.97,0.465,0.03,0.005,0.04,0.09
13240,303.97,0.465,0.03,0.005,0.04,0.09
13250,303.97,0.465,0.03,0.005,0.04,0.09
13260,303.97,0.465,0.03,0.005,0.04,0.09
13270,303.97,0.465,0.03,0.005,0.04,0.09
13280,303.97,0.465,0.03,0.005,0.04,0.09
13290,303.97,0.465,0.03,0.005,0.04,0.09
13300,303.97,0.465,0.03,0.005,0.04,0.09
13310,303.97,0.465,0.03,0.005,0.04,0.09
13320,303.97,0.465,0.03,0.005,0.04,0.09
13330,303.97,0.465,0.03,0.005,0.04,0.09
13340,303.97,0.465,0.03,0.005,0.04,0.09
13350,303.97,0.465,0.03,0.005,0.04,0.09
13360,303.97,0.465,0.03,0.005,0.04,0.09
13370,303.97,0.465,0.03,0.005,0.04,0.09
13380,303.97,0.465,0.03,0.005,0.04,0.09
13390,303.97,0.465,0.03,0.005,0.04,0.09
13400,303.92,0.465,0.03,0.005,0.04,0.09
13410,303.92,0.465,0.03,0.005,0.04,0.09
13420,303.92,0.465,0.03,0.005,0.04,0.09
13430,303.92,0.465,0.03,0.005,0.04,0.09
13440,303.92,0.465,0.03,0.005,0.04,0.09
13450,303.92,0.465,0.03,0.005,0.04,0.09
13460,303.92,0.465,0.03,0.005,0.04,0.09
13470,303.92,0.465,0.03,0.005,0.04,0.09
13480,303.92,0.465,0.03,0.005,0.04,0.09
13490,303.92,0.465,0.03,0.005,0.04,0.09
13500,303.92,0.465,0.03,0.005,0.04,0.09
13510,303.92,0.465,0.03,0.005,0.04,0.09
13520,303.92,0.465,0.03,0.005,0.04,0.09
13530,303.92,0.465,0.03,0.005,0.04,0.09
13540,303.92,0.465,0.03,0.005,0.04,0.09
13550,303.92,0.465,0.03,0.005,0.04,0.09
13560,303.92,0.465,0.03,0.005,0.04,0.09
13570,303.92,0.465,0.03,0.005,0.04,0.09
13580,303.92,0.465,0.03,0.005,0.04,0.09
13590,303.92,0.465,0.03,0.005,0.04,0.09
13600,303.92,0.465,0.03,0.005,0.04,0.09
13610,303.92,0.465,0.03,0.005,0.04,0.09
13620,308.88,0.465,0.03,0.005,0.04,0.09
13630,308.88,0.465,0.03,0.005,0.04,0.09
13640,308.88,0.465,0.03,0.005,0.04,0.09
13650,308.88,0.465,0.03,0.005,0.04,0.09
13660,308.88,0.465,0.03,0.005,0.04,0.09
13670,308.88,0.465,0.03,0.005,0.04,0.09
13680,308.88,0.465,0.03,0.005,0.04,0.09
13690,308.88,0.465,0.03,0.005,0.04,0.09
13700,308.88,0.465,0.03,0.005,0.04,0.09
13710,308.88,0.465,0.03,0.005,0.04,0.09
13720,308.88,0.465,0.03,0.005,0.04,0.09
13730,308.88,0.465,0.03,0.005,0.04,0.09
13740,308.88,0.465,0.03,0.005,0.04,0.09
13750,308.88,0.465,0.03,0.005,0.04,0.09
13760,308.88,0.465,0.03,0.005,0.04,0.09
13770,308.88,0.465,0.03,0.005,0.04,0.09
13780,308.88,0.465,0.03,0.005,0.04,0.09
13790,308.88,0.465,0.03,0.005,0.04,0.09
13800,308.88,0.465,0.03,0.005,0.04,0.09
13810,308.88,0.465,0.03,0.005,0.04,0.09
13820,308.88,0.465,0.03,0.005,0.04,0.09
13830,308.88,0.465,0.03,0.005,0.04,0.09
13840,308.88,0.465,0.03,0.005,0.04,0.09
13850,313.93,0.465,0.03,0.005,0.04,0.09
13860,313.93,0.465,0.03,0.005,0.04,0.09
13870,313.93,0.465,0.03,0.005,0.04,0.09
13880,313.93,0.465,0.03,0.005,0.04,0.09
13890,313.93,0.465,0.03,0.005,0.04,0.09
13900,313.93,0.465,0.03,0.005,0.04,0.09
13910,313.93,0.465,0.03,0.005,0.04,0.09
13920,313.93,0.465,0.03,0.005,0.04,0.09
13930,313.93,0.465,0.03,0.005,0.04,0.09
13940,313.93,0.465,0.03,0.005,0.04,0.09
13950,313.93,0.465,0.03,0.005,0.04,0.09
13960,313.93,0.465,0.03,0.005,0.04,0.09
13970,313.93,0.465,0.03,0.005,0.04,0.09
13980,313.93,0.465,0.03,0.005,0.04,0.09
13990,313.93,0.465,0.03,0.005,0.04,0.09
14000,313.93,0.465,0.03,0.005,0.04,0.09
14010,313.93,0.465,0.03,0.005,0.04,0.09
14020,313.93,0.465,0.03,0.005,0.04,0.09
14030,313.93,0.465,0.03,0.005,0.04,0.09
14040,313.93,0.465,0.03,0.005,0.04,0.09
14050,313.93,0.465,0.03,0.005,0.04,0.09
14060,313.93,0.465,0.03,0.005,0.04,0.09
14070,313.93,0.465,0.03,0.005,0.04,0.09
14080,313.93,0.465,0.03,0.005,0.04,0.09
14090,313.93,0.465,0.03,0.005,0.04,0.09
14100,313.93,0.465,0.03,0.005,0.04,0.09
14110,313.93,0.465,0.03,0.005,0.04,0.09
14120,313.93,0.465,0.03,0.005,0.04,0.09
14130,313.93,0.465,0.03,0.005,0.04,0.09
14140,313.93,0.465,0.03,0.005,0.04,0.09
14150,313.93,0.465,0.03,0.005,0.04,0.09
14160,313.93,0.465,0.03,0.005,0.04,0.09
14170,313.93,0.465,0.03,0.005,0.04,0.09
14180,313.93,0.465,0.03,0.005,0.04,0.09
14190,313.93,0.465,0.03,0.005,0.04,0.09
14200,313.93,0.465,0.03,0.005,0.04,0.09
14210,313.93,0.465,0.03,0.005,0.04,0.09
14220,313.93,0.465,0.03,0.005,0.04,0.09
14230,313.93,0.465,0.03,0.005,0.04,0.09
14240,313.93,0.465,0.03,0.005,0.04,0.09
14250,313.93,0.465,0.03,0.005,0.04,0.09
14260,313.93,0.465,0.03,0.005,0.04,0.09
14270,313.93,0.465,0.03,0.005,0.04,0.09
14280,313.93,0.465,0.03,0.005,0.04,0.09
14290,313.93,0.465,0.03,0.005,0.04,0.09
14300,313.93,0.465,0.03,0.005,0.04,0.09
14310,313.93,0.465,0.03,0.005,0.04,0.09
14320,313.93,0.465,0.03,0.005,0.04,0.09
14330,313.93,0.465,0.03,0.005,0.04,0.09
14340,313.93,0.465,0.03,0.005,0.04,0.09
14350,313.93,0.465,0.03,0.005,0.04,0.09
14360,313.93,0.465,0.03,0.005,0.04,0.09
14370,313.93,0.465,0.03,0.005,0.04,0.09
14380,313.93,0.465,0.03,0.005,0.04,0.09
14390,313.93,0.465,0.03,0.005,0.04,0.09
14400,313.93,0.465,0.03,0.005,0.04,0.09
14410,313.93,0.465,0.03,0.005,0.04,0.09
14420,313.93,0.465,0.03,0.005,0.04,0.09
14430,313.93,0.465,0.03,0.005,0.04,0.09
14440,313.93,0.465,0.03,0.005,0.04,0.09
14450,313.93,0.465,0.03,0.005,0.04,0.09
14460,313.93,0.465,0.03,0.005,0.04,0.09
14470,313.93,0.465,0.03,0.005,0.04,0.09
14480,313.93,0.465,0.03,0.005,0.04,0.09
14490,313.93,0.465,0.03,0.005,0.04,0.09
14500,313.93,0.465,0.03,0.005,0.04,0.09
14510,313.93,0.465,0.03,0.005,0.04,0.09
14520,313.93,0.465,0.03,0.005,0.04,0.09
14530,313.93,0.465,0.03,0.005,0.04,0.09
14540,313.93,0.465,0.03,0.005,0.04,0.09
14550,313.93,0.465,0.03,0.005,0.04,0.09
14560,313.93,0.465,0.03,0.005,0.04,0.09
14570,313.93,0.465,0.03,0.005,0.04,0.09
14580,313.93,0.465,0.03,0.005,0.04,0.09
14590,313.93,0.465,0.03,0.005,0.04,0.09
14600,313.93,0.465,0.03,0.005,0.04,0.09
14610,313.93,0.465,0.03,0.005,0.04,0.09
14620,313.93,0.465,0.03,0.005,0.04,0.09
14630,313.93,0.465,0.03,0.005,0.04,0.09
14640,313.93,0.465,0.03,0.005,0.04,0.09
14650,313.93,0.465,0.03,0.005,0.04,0.09
14660,313.93,0.465,0.03,0.005,0.04,0.09
14670,313.93,0.465,0.03,0.005,0.04,0.09
14680,313.93,0.465,0.03,0.005,0.04,0.09
14690,313.93,0.465,0.03,0.005,0.04,0.09
14700,313.93,0.465,0.03,0.005,0.04,0.09
14710,313.93,0.465,0.03,0.005,0.04,0.09
14720,313.93,0.465,0.03,0.005,0.04,0.09
14730,313.93,0.465,0.03,0.005,0.04,0.09
14740,313.93,0.465,0.03,0.005,0.04,0.09
14750,313.93,0.465,0.03,0.005,0.04,0.09
14760,313.93,0.465,0.03,0.005,0.04,0.09
14770,313.93,0.465,0.03,0.005,0.04,0.09
14780,313.93,0.465,0.03,0.005,0.04,0.09
14790,313.93,0.465,0.03,0.005,0.04,0.09
14800,313.93,0.465,0.03,0.005,0.04,0.09
14810,313.93,0.465,0.03,0.005,0.04,0.09
14820,313.93,0.465,0.03,0.005,0.04,0.09
14830,313.93,0.465,0.03,0.005,0.04,0.09
14840,313.93,0.465,0.03,0.005,0.04,0.09
14850,313.93,0.465,0.03,0.005,0.04,0.09
14860,313.93,0.465,0.03,0.005,0.04,0.09
14870,313.93,0.465,0.03,0.005,0.04,0.09
14880,313.93,0.465,0.03,0.005,0.04,0.09
14890,313.93,0.465,0.03,0.005,0.04,0.09
14900,313.93,0.465,0.03,0.005,0.04,0.09
14910,313.93,0.465,0.03,0.005,0.04,0.09
14920,313.93,0.465,0.03,0.005,0.04,0.09
14930,313.93,0.465,0.03,0.005,0.04,0.09
14940,313.93,0.465,0.03,0.005,0.04,0.09
14950,313.93,0.465,0.03,0.005,0.04,0.09
14960,313.93,0.465,0.03,0.005,0.04,0.09
14970,313.93,0.465,0.03,0.005,0.04,0.09
14980,313.93,0.465,0.03,0.005,0.04,0.09
14990,313.93,0.465,0.03,0.005,0.04,0.09
15000,313.93,0.465,0.03,0.005,0.04,0.09
15010,313.93,0.465,0.03,0.005,0.04,0.09
15020,318.83,0.465,0.03,0.005,0.04,0.09
15030,318.83,0.465,0.03,0.005,0.04,0.09
15040,318.83,0.465,0.03,0.005,0.04,0.09
15050,318.83,0.465,0.03,0.005,0.04,0.09
15060,318.83,0.465,0.03,0.005,0.04,0.09
15070,318.83,0.465,0.03,0.005,0.04,0.09
15080,318.83,0.465,0.03,0.005,0.04,0.09
15090,318.83,0.465,0.03,0.005,0.04,0.09
15100,318.83,0.465,0.03,0.005,0.04,0.09
15110,318.83,0.465,0.03,0.005,0.04,0.09
15120,318.83,0.465,0.03,0.005,0.04,0.09
15130,318.83,0.465,0.03,0.005,0.04,0.09
15140,318.83,0.465,0.03,0.005,0.04,0.09
15150,318.83,0.465,0.03,0.005,0.04,0.09
15160,318.83,0.465,0.03,0.005,0.04,0.09
15170,318.83,0.465,0.03,0.005,0.04,0.09
15180,318.83,0.465,0.03,0.005,0.04,0.09
15190,318.83,0.465,0.03,0.005,0.04,0.09
15200,318.83,0.465,0.03,0.005,0.04,0.09
15210,318.83,0.465,0.03,0.005,0.04,0.09
15220,318.83,0.465,0.03,0.005,0.04,0.09
15230,318.83,0.465,0.03,0.005,0.04,0.09
15240,318.83,0.465,0.03,0.005,0.04,0.09
15250,318.83,0.465,0.03,0.005,0.04,0.09
15260,318.77,0.465,0.03,0.005,0.04,0.09
15270,318.77,0.465,0.03,0.005,0.04,0.09
15280,318.77,0.465,0.03,0.005,0.04,0.09
15290,318.77,0.465,0.03,0.005,0.04,0.09
15300,318.77,0.465,0.03,0.005,0.04,0.09
15310,318.77,0.465,0.03,0.005,0.04,0.09
15320,318.77,0.465,0.03,0.005,0.04,0.09
15330,318.77,0.465,0.03,0.005,0.04,0.09
15340,318.77,0.465,0.03,0.005,0.04,0.09
15350,318.77,0.465,0.03,0.005,0.04,0.09
15360,318.77,0.465,0.03,0.005,0.04,0.09
15370,318.77,0.465,0.03,0.005,0.04,0.09
15380,318.77,0.465,0.03,0.005,0.04,0.09
15390,318.77,0.465,0.03,0.005,0.04,0.09
15400,318.77,0.465,0.03,0.005,0.04,0.09
15410,318.77,0.465,0.03,0.005,0.04,0.09
15420,318.77,0.465,0.03,0.005,0.04,0.09
15430,318.77,0.465,0.03,0.005,0.04,0.09
15440,318.77,0.465,0.03,0.005,0.04,0.09
15450,318.77,0.465,0.03,0.005,0.04,0.09
15460,318.77,0.465,0.03,0.005,0.04,0.09
15470,318.77,0.465,0.03,0.005,0.04,0.09
15480,318.77,0.465,0.03,0.005,0.04,0.09
15490,318.77,0.465,0.03,0.005,0.04,0.09
15500,318.77,0.465,0.03,0.005,0.04,0.09
15510,318.72,0.465,0.03,0.005,0.04,0.09
15520,318.72,0.465,0.03,0.005,0.04,0.09
15530,318.72,0.465,0.03,0.005,0.04,0.09
15540,318.72,0.465,0.03,0.005,0.04,0.09
15550,318.72,0.465,0.03,0.005,0.04,0.09
15560,318.72,0.465,0.03,0.005,0.04,0.09
15570,318.72,0.465,0.03,0.005,0.04,0.09
15580,318.72,0.465,0.03,0.005,0.04,0.09
15590,318.72,0.465,0.03,0.005,0.04,0.09
15600,318.72,0.465,0.03,0.005,0.04,0.09
15610,318.72,0.465,0.03,0.005,0.04,0.09
15620,318.72,0.465,0.03,0.005,0.04,0.09
15630,318.72,0.465,0.03,0.005,0.04,0.09
15640,318.72,0.465,0.03,0.005,0.04,0.09
15650,318.72,0.465,0.03,0.005,0.04,0.09
15660,318.72,0.465,0.03,0.005,0.04,0.09
15670,318.72,0.465,0.03,0.005,0.04,0.09
15680,318.72,0.465,0.03,0.005,0.04,0.09
15690,318.72,0.465,0.03,0.005,0.04,0.09
15700,318.72,0.465,0.03,0.005,0.04,0.09
15710,318.72,0.465,0.03,0.005,0.04,0.09
15720,318.72,0.465,0.03,0.005,0.04,0.09
15730,318.72,0.465,0.03,0.005,0.04,0.09
15740,318.72,0.465,0.03,0.005,0.04,0.09
15750,318.72,0.465,0.03,0.005,0.04,0.09
15760,318.72,0.465,0.03,0.005,0.04,0.09
15770,313.49,0.465,0.03,0.005,0.04,0.09
15780,313.49,0.465,0.03,0.005,0.04,0.09
15790,313.49,0.465,0.03,0.005,0.04,0.09
15800,313.49,0.465,0.03,0.005,0.04,0.09
15810,313.49,0.465,0.03,0.005,0.04,0.09
15820,313.49,0.465,0.03,0.005,0.04,0.09
15830,313.49,0.465,0.03,0.005,0.04,0.09
15840,313.49,0.465,0.03,0.005,0.04,0.09
15850,313.49,0.465,0.03,0.005,0.04,0.09
15860,313.49,0.465,0.03,0.005,0.04,0.09
15870,313.49,0.465,0.03,0.005,0.04,0.09
15880,313.49,0.465,0.03,0.005,0.04,0.09
15890,313.49,0.465,0.03,0.005,0.04,0.09
15900,313.49,0.465,0.03,0.005,0.04,0.09
15910,313.49,0.465,0.03,0.005,0.04,0.09
15920,313.49,0.465,0.03,0.005,0.04,0.09
15930,313.49,0.465,0.03,0.005,0.04,0.09
15940,313.49,0.465,0.03,0.005,0.04,0.09
15950,313.49,0.465,0.03,0.005,0.04,0.09
15960,313.49,0.465,0.03,0.005,0.04,0.09
15970,313.49,0.465,0.03,0.005,0.04,0.09
15980,313.49,0.465,0.03,0.005,0.04,0.09
15990,313.49,0.465,0.03,0.005,0.04,0.09
16000,313.49,0.465,0.03,0.005,0.04,0.09
16010,313.49,0.465,0.03,0.005,0.04,0.09
16020,313.49,0.465,0.03,0.005,0.04,0.09
16030,313.49,0.465,0.03,0.005,0.04,0.09
16040,313.49,0.465,0.03,0.005,0.04,0.09
16050,313.49,0.465,0.03,0.005,0.04,0.09
16060,313.49,0.465,0.03,0.005,0.04,0.09
16070,313.49,0.465,0.03,0.005,0.04,0.09
16080,313.49,0.465,0.03,0.005,0.04,0.09
16090,313.49,0.465,0.03,0.005,0.04,0.09
16100,313.49,0.465,0.03,0.005,0.04,0.09
16110,313.49,0.465,0.03,0.005,0.04,0.09
16120,313.49,0.465,0.03,0.005,0.04,0.09
16130,313.49,0.465,0.03,0.005,0.04,0.09
16140,313.49,0.465,0.03,0.005,0.04,0.09
16150,313.49,0.465,0.03,0.005,0.04,0.09
16160,313.49,0.465,0.03,0.005,0.04,0.09
16170,313.49,0.465,0.03,0.005,0.04,0.09
16180,313.49,0.465,0.03,0.005,0.04,0.09
16190,313.49,0.465,0.03,0.005,0.04,0.09
16200,313.49,0.465,0.03,0.005,0.04,0.09
16210,313.49,0.465,0.03,0.005,0.04,0.09
16220,313.49,0.465,0.03,0.005,0.04,0.09
16230,313.49,0.465,0.03,0.005,0.04,0.09
16240,313.49,0.465,0.03,0.005,0.04,0.09
16250,313.49,0.465,0.03,0.005,0.04,0.09
16260,313.49,0.465,0.03,0.005,0.04,0.09
16270,313.49,0.465,0.03,0.005,0.04,0.09
16280,313.49,0.465,0.03,0.005,0.04,0.09
16290,313.49,0.465,0.03,0.005,0.04,0.09
16300,313.49,0.465,0.03,0.005,0.04,0.09
16310,313.49,0.465,0.03,0.005,0.04,0.09
16320,313.49,0.465,0.03,0.005,0.04,0.09
16330,313.49,0.465,0.03,0.005,0.04,0.09
16340,313.49,0.465,0.03,0.005,0.04,0.09
16350,313.49,0.465,0.03,0.005,0.04,0.09
16360,313.49,0.465,0.03,0.005,0.04,0.09
16370,313.49,0.465,0.03,0.005,0.04,0.09
16380,313.49,0.465,0.03,0.005,0.04,0.09
16390,313.49,0.465,0.03,0.005,0.04,0.09
16400,313.49,0.465,0.03,0.005,0.04,0.09
16410,313.49,0.465,0.03,0.005,0.04,0.09
16420,313.49,0.465,0.03,0.005,0.04,0.09
16430,313.49,0.465,0.03,0.005,0.04,0.09
16440,313.49,0.465,0.03,0.005,0.04,0.09
16450,313.49,0.465,0.03,0.005,0.04,0.09
16460,313.49,0.465,0.03,0.005,0.04,0.09
16470,313.49,0.465,0.03,0.005,0.04,0.09
16480,313.49,0.465,0.03,0.005,0.04,0.09
16490,313.49,0.465,0.03,0.005,0.04,0.09
16500,313.49,0.465,0.03,0.005,0.04,0.09
16510,313.49,0.465,0.03,0.005,0.04,0.09
16520,313.49,0.465,0.03,0.005,0.04,0.09
16530,313.49,0.465,0.03,0.005,0.04,0.09
16540,313.49,0.465,0.03,0.005,0.04,0.09
16550,298.31,0.465,0.03,0.005,0.04,0.09
16560,298.31,0.465,0.03,0.005,0.04,0.09
16570,298.31,0.465,0.03,0.005,0.04,0.09
16580,298.31,0.465,0.03,0.005,0.04,0.09
16590,298.31,0.465,0.03,0.005,0.04,0.09
16600,298.31,0.465,0.03,0.005,0.04,0.09
16610,298.31,0.465,0.03,0.005,0.04,0.09
16620,298.31,0.465,0.03,0.005,0.04,0.09
16630,298.31,0.465,0.03,0.005,0.04,0.09
16640,298.31,0.465,0.03,0.005,0.04,0.09
16650,298.31,0.465,0.03,0.005,0.04,0.09
16660,298.31,0.465,0.03,0.005,0.04,0.09
16670,298.31,0.465,0.03,0.005,0.04,0.09
16680,298.31,0.465,0.03,0.005,0.04,0.09
16690,298.31,0.465,0.03,0.005,0.04,0.09
16700,298.31,0.465,0.03,0.005,0.04,0.09
16710,298.31,0.465,0.03,0.005,0.04,0.09
16720,298.31,0.465,0.03,0.005,0.04,0.09
16730,298.31,0.465,0.03,0.005,0.04,0.09
16740,298.31,0.465,0.03,0.005,0.04,0.09
16750,298.31,0.465,0.03,0.005,0.04,0.09
16760,298.31,0.465,0.03,0.005,0.04,0.09
16770,298.31,0.465,0.03,0.005,0.04,0.09
16780,298.31,0.465,0.03,0.005,0.04,0.09
16790,298.31,0.465,0.03,0.005,0.04,0.09
16800,298.31,0.465,0.03,0.005,0.04,0.09
16810,298.31,0.465,0.03,0.005,0.04,0.09
16820,288.65,0.465,0.03,0.005,0.04,0.09
16830,288.65,0.465,0.03,0.005,0.04,0.09
16840,288.65,0.465,0.03,0.005,0.04,0.09
16850,288.65,0.465,0.03,0.005,0.04,0.09
16860,288.65,0.465,0.03,0.005,0.04,0.09
16870,288.65,0.465,0.03,0.005,0.04,0.09
16880,288.65,0.465,0.03,0.005,0.04,0.09
16890,288.65,0.465,0.03,0.005,0.04,0.09
16900,288.65,0.465,0.03,0.005,0.04,0.09
16910,288.65,0.465,0.03,0.005,0.04,0.09
16920,288.65,0.465,0.03,0.005,0.04,0.09
16930,288.65,0.465,0.03,0.005,0.04,0.09
16940,288.65,0.465,0.03,0.005,0.04,0.09
16950,288.65,0.465,0.03,0.005,0.04,0.09
16960,288.65,0.465,0.03,0.005,0.04,0.09
16970,288.65,0.465,0.03,0.005,0.04,0.09
16980,288.65,0.465,0.03,0.005,0.04,0.09
16990,288.65,0.465,0.03,0.005,0.04,0.09
17000,288.65,0.465,0.03,0.005,0.04,0.09
17010,288.65,0.465,0.03,0.005,0.04,0.09
17020,288.65,0.465,0.03,0.005,0.04,0.09
17030,288.65,0.465,0.03,0.005,0.04,0.09
17040,288.65,0.465,0.03,0.005,0.04,0.09
17050,288.65,0.465,0.03,0.005,0.04,0.09
17060,288.65,0.465,0.03,0.005,0.04,0.09
17070,288.65,0.465,0.03,0.005,0.04,0.09
17080,288.65,0.465,0.03,0.005,0.04,0.09
17090,288.65,0.465,0.03,0.005,0.04,0.09
17100,283.92,0.465,0.03,0.005,0.04,0.09
17110,283.92,0.465,0.03,0.005,0.04,0.09
17120,283.92,0.465,0.03,0.005,0.04,0.09
17130,283.92,0.465,0.03,0.005,0.04,0.09
17140,283.92,0.465,0.03,0.005,0.04,0.09
17150,283.92,0.465,0.03,0.005,0.04,0.09
17160,283.92,0.465,0.03,0.005,0.04,0.09
17170,283.92,0.465,0.03,0.005,0.04,0.09
17180,283.92,0.465,0.03,0.005,0.04,0.09
17190,283.92,0.465,0.03,0.005,0.04,0.09
17200,283.92,0.465,0.03,0.005,0.04,0.09
17210,283.92,0.465,0.03,0.005,0.04,0.09
17220,283.92,0.465,0.03,0.005,0.04,0.09
17230,283.92,0.465,0.03,0.005,0.04,0.09
17240,283.92,0.465,0.03,0.005,0.04,0.09
17250,283.92,0.465,0.03,0.005,0.04,0.09
17260,283.92,0.465,0.03,0.005,0.04,0.09
17270,283.92,0.465,0.03,0.005,0.04,0.09
17280,283.92,0.465,0.03,0.005,0.04,0.09
17290,283.92,0.465,0.03,0.005,0.04,0.09
17300,283.92,0.465,0.03,0.005,0.04,0.09
17310,283.92,0.465,0.03,0.005,0.04,0.09
17320,283.92,0.465,0.03,0.005,0.04,0.09
17330,283.92,0.465,0.03,0.005,0.04,0.09
17340,283.92,0.465,0.03,0.005,0.04,0.09
17350,283.92,0.465,0.03,0.005,0.04,0.09
17360,283.92,0.465,0.03,0.005,0.04,0.09
17370,274.73,0.465,0.03,0.005,0.04,0.09
17380,274.73,0.465,0.03,0.005,0.04,0.09
17390,274.73,0.465,0.03,0.005,0.04,0.09
17400,274.73,0.465,0.03,0.005,0.04,0.09
17410,274.73,0.465,0.03,0.005,0.04,0.09
17420,274.73,0.465,0.03,0.005,0.04,0.09
17430,274.73,0.465,0.03,0.005,0.04,0.09
17440,274.73,0.465,0.03,0.005,0.04,0.09
17450,274.73,0.465,0.03,0.005,0.04,0.09
17460,274.73,0.465,0.03,0.005,0.04,0.09
17470,274.73,0.465,0.03,0.005,0.04,0.09
17480,274.73,0.465,0.03,0.005,0.04,0.09
17490,274.73,0.465,0.03,0.005,0.04,0.09
17500,274.73,0.465,0.03,0.005,0.04,0.09
17510,274.73,0.465,0.03,0.005,0.04,0.09
17520,274.73,0.465,0.03,0.005,0.04,0.09
